Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
241121_Std_20nM_UCYNA_B12_2,B12,Ado-B12,790.7234,665.6158,6.35,13821141,133738,6.3,6.42,5483028
241121_Std_50nM_RP-Mix234_InH2O,B12,Ado-B12,790.7234,665.6158,6.35,6335,0,6.31,6.41,4249
241121_Poo_UCYNA-culture_Full1,B12,Ado-B12,790.7234,665.6158,6.35,354976,4612,6.3,6.42,139714
241121_Poo_UCYNA-culture_Full2,B12,Ado-B12,790.7234,665.6158,6.35,365047,2562,6.3,6.44,136766
241121_Poo_UCYNA-culture_Full3,B12,Ado-B12,790.7234,665.6158,6.36,350029,0,6.3,6.42,146688
241121_Smp_UCYNA_Z-2,B12,Ado-B12,790.7234,665.6158,6.34,598,0,6.32,6.38,414
241121_Smp_UCYNA_Z-4,B12,Ado-B12,790.7234,665.6158,6.29,260,0,6.27,6.32,252
241121_Smp_UCYNA_Z-7,B12,Ado-B12,790.7234,665.6158,6.29,30,13,6.27,6.31,27
241121_Smp_UCYNA_Z-12,B12,Ado-B12,790.7234,665.6158,6.3,105,271,6.26,6.31,230
241121_Smp_UCYNA_Z-13,B12,Ado-B12,790.7234,665.6158,6.33,276,0,6.3,6.34,268
241121_Smp_UCYNA_Z-17,B12,Ado-B12,790.7234,665.6158,6.34,101,19,6.29,6.34,141
241121_Smp_UCYNA_Z-19,B12,Ado-B12,790.7234,665.6158,6.34,303225,416,6.29,6.42,124314
241121_Smp_UCYNA_Z-20,B12,Ado-B12,790.7234,665.6158,6.35,306128,970,6.28,6.44,128859
241121_Smp_UCYNA_Z-21,B12,Ado-B12,790.7234,665.6158,6.37,619,365,6.31,6.41,483
241121_Smp_UCYNA_Z-22,B12,Ado-B12,790.7234,665.6158,6.34,467830,5604,6.29,6.42,193106
241121_Smp_UCYNA_Z-23,B12,Ado-B12,790.7234,665.6158,6.34,616921,11983,6.3,6.42,259452
241121_Smp_UCYNA_Z-24,B12,Ado-B12,790.7234,665.6158,6.34,450862,6215,6.29,6.42,181952
241121_Smp_UCYNA_Z-25,B12,Ado-B12,790.7234,665.6158,6.36,614,30,6.32,6.39,684
241121_Smp_UCYNA_Z-26,B12,Ado-B12,790.7234,665.6158,6.35,463,38,6.33,6.4,804
241121_Smp_UCYNA_Z-27,B12,Ado-B12,790.7234,665.6158,6.32,353,0,6.32,6.39,275
241121_Smp_UCYNA_Z-28,B12,Ado-B12,790.7234,665.6158,6.36,18,9,6.34,6.39,38
241121_Smp_UCYNA_Z-29,B12,Ado-B12,790.7234,665.6158,6.33,231,0,6.28,6.34,264
241121_Smp_UCYNA_Z-30,B12,Ado-B12,790.7234,665.6158,6.35,489665,5007,6.3,6.43,182557
241121_Smp_UCYNA_Z-31,B12,Ado-B12,790.7234,665.6158,6.35,522584,6702,6.29,6.42,213887
241121_Smp_UCYNA_Z-32,B12,Ado-B12,790.7234,665.6158,6.34,556326,2778,6.29,6.43,218349
241121_Smp_UCYNA_Z-33,B12,Ado-B12,790.7234,665.6158,6.34,2804,0,6.3,6.42,1899
241121_Smp_UCYNA_Z-34,B12,Ado-B12,790.7234,665.6158,6.35,1057260,13469,6.3,6.42,422133
241121_Smp_UCYNA_Z-35,B12,Ado-B12,790.7234,665.6158,6.35,763099,6963,6.3,6.42,292605
241121_Smp_UCYNA_Z-36,B12,Ado-B12,790.7234,665.6158,6.34,869823,3519,6.3,6.43,347196
241121_Smp_UCYNA_Z-37,B12,Ado-B12,790.7234,665.6158,6.35,2792,39,6.31,6.4,1816
241121_Smp_UCYNA_Z-38,B12,Ado-B12,790.7234,665.6158,6.34,464,0,6.32,6.39,617
241121_Smp_UCYNA_Z-39,B12,Ado-B12,790.7234,665.6158,6.34,1137,0,6.31,6.39,767
241121_Smp_UCYNA_Z-40,B12,Ado-B12,790.7234,665.6158,6.35,208,19,6.34,6.4,217
241121_Smp_UCYNA_Z-41,B12,Ado-B12,790.7234,665.6158,6.34,171,14,6.32,6.36,204
241121_Smp_UCYNA_Z-42,B12,Ado-B12,790.7234,665.6158,6.3,307,0,6.28,6.31,423
241121_Std_0nM_UCYNA_B12_1,B12,Ado-B12,790.7234,147.1436,6.32,402,78,6.27,6.36,483
241121_Std_0nM_UCYNA_B12_2,B12,Ado-B12,790.7234,147.1436,6.35,220,32,6.27,6.35,303
241121_Std_1nM_UCYNA_B12_1,B12,Ado-B12,790.7234,147.1436,6.34,611872,9249,6.3,6.43,242613
241121_Std_1nM_UCYNA_B12_2,B12,Ado-B12,790.7234,147.1436,6.35,631351,1218,6.3,6.42,264482
241121_Std_5nM_UCYNA_B12_1,B12,Ado-B12,790.7234,147.1436,6.35,3273849,15372,6.29,6.42,1334131
241121_Std_5nM_UCYNA_B12_2,B12,Ado-B12,790.7234,147.1436,6.35,3336351,26252,6.3,6.42,1317716
241121_Std_10nM_UCYNA_B12_1,B12,Ado-B12,790.7234,147.1436,6.34,4879801,55985,6.3,6.42,1998500
241121_Std_10nM_UCYNA_B12_2,B12,Ado-B12,790.7234,147.1436,6.35,6776110,42312,6.3,6.42,2765092
241121_Std_20nM_UCYNA_B12_1,B12,Ado-B12,790.7234,147.1436,6.34,14918395,211529,6.3,6.41,6132164
241121_Std_20nM_UCYNA_B12_2,B12,Ado-B12,790.7234,147.1436,6.35,16400462,137145,6.3,6.42,6547532
241121_Std_50nM_RP-Mix234_InH2O,B12,Ado-B12,790.7234,147.1436,6.36,8385,23,6.31,6.41,4103
241121_Poo_UCYNA-culture_Full1,B12,Ado-B12,790.7234,147.1436,6.35,436315,2480,6.3,6.42,166569
241121_Poo_UCYNA-culture_Full2,B12,Ado-B12,790.7234,147.1436,6.35,453951,5728,6.3,6.44,183429
241121_Poo_UCYNA-culture_Full3,B12,Ado-B12,790.7234,147.1436,6.36,443676,1782,6.3,6.42,177409
241121_Smp_UCYNA_Z-2,B12,Ado-B12,790.7234,147.1436,6.34,108,20,6.32,6.38,96
241121_Smp_UCYNA_Z-4,B12,Ado-B12,790.7234,147.1436,6.28,260,0,6.27,6.32,420
241121_Smp_UCYNA_Z-7,B12,Ado-B12,790.7234,147.1436,6.3,480,0,6.27,6.31,625
241121_Smp_UCYNA_Z-12,B12,Ado-B12,790.7234,147.1436,6.28,97,17,6.26,6.31,162
241121_Smp_UCYNA_Z-13,B12,Ado-B12,790.7234,147.1436,6.33,531,0,6.3,6.34,440
241121_Smp_UCYNA_Z-17,B12,Ado-B12,790.7234,147.1436,6.32,332,20,6.29,6.34,391
241121_Smp_UCYNA_Z-19,B12,Ado-B12,790.7234,147.1436,6.36,350284,116,6.29,6.42,135025
241121_Smp_UCYNA_Z-20,B12,Ado-B12,790.7234,147.1436,6.35,365094,0,6.28,6.44,144384
241121_Smp_UCYNA_Z-21,B12,Ado-B12,790.7234,147.1436,6.34,2388,0,6.31,6.41,1219
241121_Smp_UCYNA_Z-22,B12,Ado-B12,790.7234,147.1436,6.34,584890,4714,6.29,6.42,239113
241121_Smp_UCYNA_Z-23,B12,Ado-B12,790.7234,147.1436,6.34,699136,9861,6.3,6.42,299352
241121_Smp_UCYNA_Z-24,B12,Ado-B12,790.7234,147.1436,6.35,546814,4355,6.29,6.42,209721
241121_Smp_UCYNA_Z-25,B12,Ado-B12,790.7234,147.1436,6.32,1224,0,6.32,6.39,837
241121_Smp_UCYNA_Z-26,B12,Ado-B12,790.7234,147.1436,6.36,1270,24,6.33,6.4,868
241121_Smp_UCYNA_Z-27,B12,Ado-B12,790.7234,147.1436,6.35,568,12,6.32,6.39,421
241121_Smp_UCYNA_Z-28,B12,Ado-B12,790.7234,147.1436,6.36,12,99,6.34,6.39,37
241121_Smp_UCYNA_Z-29,B12,Ado-B12,790.7234,147.1436,6.31,280,0,6.28,6.34,379
241121_Smp_UCYNA_Z-30,B12,Ado-B12,790.7234,147.1436,6.36,595237,4618,6.3,6.43,240204
241121_Smp_UCYNA_Z-31,B12,Ado-B12,790.7234,147.1436,6.35,617405,8114,6.29,6.42,252034
241121_Smp_UCYNA_Z-32,B12,Ado-B12,790.7234,147.1436,6.34,661143,4040,6.29,6.43,262931
241121_Smp_UCYNA_Z-33,B12,Ado-B12,790.7234,147.1436,6.39,3815,132,6.3,6.42,1906
241121_Smp_UCYNA_Z-34,B12,Ado-B12,790.7234,147.1436,6.35,1278095,11191,6.3,6.42,482406
241121_Smp_UCYNA_Z-35,B12,Ado-B12,790.7234,147.1436,6.35,898765,6095,6.3,6.42,351605
241121_Smp_UCYNA_Z-36,B12,Ado-B12,790.7234,147.1436,6.35,1079326,8708,6.3,6.43,425977
241121_Smp_UCYNA_Z-37,B12,Ado-B12,790.7234,147.1436,6.36,1918,0,6.31,6.4,1021
241121_Smp_UCYNA_Z-38,B12,Ado-B12,790.7234,147.1436,6.36,1111,0,6.32,6.39,847
241121_Smp_UCYNA_Z-39,B12,Ado-B12,790.7234,147.1436,6.34,884,35,6.31,6.39,922
241121_Smp_UCYNA_Z-40,B12,Ado-B12,790.7234,147.1436,6.36,574,68,6.34,6.4,460
241121_Smp_UCYNA_Z-41,B12,Ado-B12,790.7234,147.1436,6.34,434,30,6.32,6.36,480
241121_Smp_UCYNA_Z-42,B12,Ado-B12,790.7234,147.1436,6.3,258,0,6.28,6.31,405
241121_Std_0nM_UCYNA_B12_1,B12,OH-B12,664.7,359.2,4.56,2142,0,4.51,4.64,1523
241121_Std_0nM_UCYNA_B12_2,B12,OH-B12,664.7,359.2,4.56,267,0,4.53,4.64,464
241121_Std_1nM_UCYNA_B12_1,B12,OH-B12,664.7,359.2,4.55,61129,8795,4.5,4.77,15943
241121_Std_1nM_UCYNA_B12_2,B12,OH-B12,664.7,359.2,4.56,66487,1879,4.51,4.73,11623
241121_Std_5nM_UCYNA_B12_1,B12,OH-B12,664.7,359.2,4.56,447003,19939,4.5,4.86,74522
241121_Std_5nM_UCYNA_B12_2,B12,OH-B12,664.7,359.2,4.59,389689,72189,4.5,4.85,72960
241121_Std_10nM_UCYNA_B12_1,B12,OH-B12,664.7,359.2,4.58,675767,19342,4.5,4.9,105587
241121_Std_10nM_UCYNA_B12_2,B12,OH-B12,664.7,359.2,4.57,874362,53807,4.5,4.86,136307
241121_Std_20nM_UCYNA_B12_1,B12,OH-B12,664.7,359.2,4.56,1898315,95668,4.5,4.88,294342
241121_Std_20nM_UCYNA_B12_2,B12,OH-B12,664.7,359.2,4.58,1949186,109146,4.5,4.87,299054
241121_Std_50nM_RP-Mix234_InH2O,B12,OH-B12,664.7,359.2,4.57,101,0,4.52,4.58,199
241121_Poo_UCYNA-culture_Full1,B12,OH-B12,664.7,359.2,4.56,86570,0,4.51,4.79,20264
241121_Poo_UCYNA-culture_Full2,B12,OH-B12,664.7,359.2,4.57,65393,7183,4.51,4.7,20231
241121_Poo_UCYNA-culture_Full3,B12,OH-B12,664.7,359.2,4.6,79257,0,4.5,4.76,13772
241121_Smp_UCYNA_Z-2,B12,OH-B12,664.7,359.2,4.47,1222,208,4.47,4.54,1897
241121_Smp_UCYNA_Z-4,B12,OH-B12,664.7,359.2,4.58,1537,0,4.51,4.61,1171
241121_Smp_UCYNA_Z-7,B12,OH-B12,664.7,359.2,4.6,1708,0,4.52,4.64,1292
241121_Smp_UCYNA_Z-12,B12,OH-B12,664.7,359.2,4.56,1777,41,4.52,4.61,2265
241121_Smp_UCYNA_Z-13,B12,OH-B12,664.7,359.2,4.55,1295,0,4.49,4.61,928
241121_Smp_UCYNA_Z-17,B12,OH-B12,664.7,359.2,4.53,1409,0,4.5,4.57,1310
241121_Smp_UCYNA_Z-19,B12,OH-B12,664.7,359.2,4.57,138765,0,4.5,4.86,30264
241121_Smp_UCYNA_Z-20,B12,OH-B12,664.7,359.2,4.55,99124,0,4.51,4.81,20264
241121_Smp_UCYNA_Z-21,B12,OH-B12,664.7,359.2,4.49,2140,0,4.46,4.54,1388
241121_Smp_UCYNA_Z-22,B12,OH-B12,664.7,359.2,4.59,152411,0,4.48,4.83,25236
241121_Smp_UCYNA_Z-23,B12,OH-B12,664.7,359.2,4.55,134120,0,4.49,4.87,19716
241121_Smp_UCYNA_Z-24,B12,OH-B12,664.7,359.2,4.56,126873,696,4.49,4.89,26304
241121_Smp_UCYNA_Z-25,B12,OH-B12,664.7,359.2,4.56,1647,0,4.53,4.58,1147
241121_Smp_UCYNA_Z-26,B12,OH-B12,664.7,359.2,4.56,4172,0,4.53,4.6,3385
241121_Smp_UCYNA_Z-27,B12,OH-B12,664.7,359.2,4.56,127,0,4.51,4.59,30
241121_Smp_UCYNA_Z-28,B12,OH-B12,664.7,359.2,4.58,655,0,4.57,4.62,786
241121_Smp_UCYNA_Z-29,B12,OH-B12,664.7,359.2,4.57,1333,0,4.53,4.58,1369
241121_Smp_UCYNA_Z-30,B12,OH-B12,664.7,359.2,4.63,73699,0,4.51,4.86,12616
241121_Smp_UCYNA_Z-31,B12,OH-B12,664.7,359.2,4.59,92947,0,4.5,4.72,18092
241121_Smp_UCYNA_Z-32,B12,OH-B12,664.7,359.2,4.57,89862,0,4.49,4.85,19044
241121_Smp_UCYNA_Z-33,B12,OH-B12,664.7,359.2,4.61,1365,0,4.55,4.64,1963
241121_Smp_UCYNA_Z-34,B12,OH-B12,664.7,359.2,4.59,113241,7056,4.51,4.89,25212
241121_Smp_UCYNA_Z-35,B12,OH-B12,664.7,359.2,4.58,84665,0,4.51,4.9,13016
241121_Smp_UCYNA_Z-36,B12,OH-B12,664.7,359.2,4.58,96429,0,4.5,4.75,32992
241121_Smp_UCYNA_Z-37,B12,OH-B12,664.7,359.2,4.6,5612,0,4.51,4.68,4104
241121_Smp_UCYNA_Z-38,B12,OH-B12,664.7,359.2,4.59,3768,0,4.5,4.64,1813
241121_Smp_UCYNA_Z-39,B12,OH-B12,664.7,359.2,4.55,3894,0,4.51,4.64,3630
241121_Smp_UCYNA_Z-40,B12,OH-B12,664.7,359.2,4.59,4034,0,4.51,4.63,3187
241121_Smp_UCYNA_Z-41,B12,OH-B12,664.7,359.2,4.64,1312,0,4.49,4.65,1744
241121_Smp_UCYNA_Z-42,B12,OH-B12,664.7,359.2,4.54,3352,0,4.51,4.59,1547
241121_Std_0nM_UCYNA_B12_1,B12,OH-B12,664.7,147.1446,4.59,16433,0,4.51,4.64,5417
241121_Std_0nM_UCYNA_B12_2,B12,OH-B12,664.7,147.1446,4.59,7444,0,4.53,4.64,2973
241121_Std_1nM_UCYNA_B12_1,B12,OH-B12,664.7,147.1446,4.58,1104077,20188,4.5,4.77,203765
241121_Std_1nM_UCYNA_B12_2,B12,OH-B12,664.7,147.1446,4.59,1097360,20538,4.51,4.73,198134
241121_Std_5nM_UCYNA_B12_1,B12,OH-B12,664.7,147.1446,4.58,6163138,256936,4.5,4.86,973328
241121_Std_5nM_UCYNA_B12_2,B12,OH-B12,664.7,147.1446,4.57,5852442,297862,4.5,4.85,946404
241121_Std_10nM_UCYNA_B12_1,B12,OH-B12,664.7,147.1446,4.57,9593904,376340,4.5,4.9,1497776
241121_Std_10nM_UCYNA_B12_2,B12,OH-B12,664.7,147.1446,4.59,11911691,784293,4.5,4.86,1782752
241121_Std_20nM_UCYNA_B12_1,B12,OH-B12,664.7,147.1446,4.57,26106800,1790686,4.5,4.88,4173600
241121_Std_20nM_UCYNA_B12_2,B12,OH-B12,664.7,147.1446,4.57,25784560,1804995,4.5,4.87,4006048
241121_Std_50nM_RP-Mix234_InH2O,B12,OH-B12,664.7,147.1446,4.52,4703,0,4.52,4.58,2228
241121_Poo_UCYNA-culture_Full1,B12,OH-B12,664.7,147.1446,4.58,1170112,0,4.51,4.79,215744
241121_Poo_UCYNA-culture_Full2,B12,OH-B12,664.7,147.1446,4.59,996164,0,4.51,4.7,194560
241121_Poo_UCYNA-culture_Full3,B12,OH-B12,664.7,147.1446,4.56,1097706,11618,4.5,4.76,170245
241121_Smp_UCYNA_Z-2,B12,OH-B12,664.7,147.1446,4.52,273,0,4.47,4.54,517
241121_Smp_UCYNA_Z-4,B12,OH-B12,664.7,147.1446,4.57,6169,0,4.51,4.61,2565
241121_Smp_UCYNA_Z-7,B12,OH-B12,664.7,147.1446,4.55,24475,88,4.52,4.64,8052
241121_Smp_UCYNA_Z-12,B12,OH-B12,664.7,147.1446,4.59,1421,0,4.52,4.61,1780
241121_Smp_UCYNA_Z-13,B12,OH-B12,664.7,147.1446,4.54,58,0,4.49,4.61,40
